impervious,canopy
3,66
3,66
3,66
0,64
0,64
0,64
0,64
0,64
0,64
0,64
0,64
44,0
44,0
44,0
3,66
44,0
3,66
3,66
3,66
36,16
36,16
36,16
21,0
21,0
36,16
36,16
36,16
36,16
0,20
20,0
20,0
20,0
20,0
1,80
1,80
24,36
24,36
0,70
0,70
3,21
1,17
27,0
27,0
10,0
10,0
10,0
16,0
28,13
55,0
55,0
41,0
41,0
43,0
43,0
20,0
70,0
0,63
0,63
36,21
36,21
4,56
23,13
10,30
35,0
35,0
44,0
40,0
17,21
